competitor,product,brand,type,status,vos_product_url,review_note,in_stock_flavours,flavours_in_stock,other_variants_in_stock,price_from,listings,example_listing,competitor_url,more_urls,closest_vos_product,closest_vos_score
ninja-vapes.co.uk,Geekvape Aero Aero Mesh 5Ml Bulb Replacement,geekvape,accessory,not on VOS (reviewed),,No Geekvape Aero tank glass found on VOS.,0,,colour: glass,2.99,1,Geek Vape Aero - Aero Mesh 5ml Bulb Replacement Glass,https://www.ninja-vapes.co.uk/product/geek-vape-aero-aero-mesh-5ml-bulb-replacement-glass,,Geekvape Zeus Nano Bulb,0.35
ninja-vapes.co.uk,aegis boost plus & pro 510 adapter,geekvape,accessory,not on VOS (reviewed),,No Aegis Boost Plus/Pro 510 adapter found on VOS.,0,,,5.99,1,Aegis Boost Plus & Pro 510 Adapter,https://www.ninja-vapes.co.uk/product/aegis-boost-plus-and-pro-510-adapter,,,
ninja-vapes.co.uk,Horizon Falcon Mini 5Ml Replacement Bulb,horizon tech,accessory,not on VOS (reviewed),,VOS has HorizonTech Falcon 2 glass but no Falcon Mini glass (different tank).,0,,colour: glass,3.25,1,Horizon Falcon Mini 5ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/horizon-falcon-mini-5ml-replacement-bulb-glass,,Horizontech Falcon 2 Eu,0.12
ninja-vapes.co.uk,Ijoy Avenger 8Ml Replacement Bulb,ijoy,accessory,not on VOS (reviewed),,No Ijoy Avenger tank glass on VOS; only an unrelated Ijoy disposable is listed.,0,,colour: glass,2.99,1,Ijoy Avenger 8ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/ijoy-avenger-8ml-replacement-bulb-glass,,,
ninja-vapes.co.uk,Ijoy Diamond Tank 5.5Ml Replacement Bulb,ijoy,accessory,not on VOS (reviewed),,No Ijoy Diamond tank glass on VOS.,0,,colour: glass,3.49,1,IJoy Diamond Tank 5.5ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/ijoy-diamond-tank-55ml-replacement-bulb-glass,,,
ninja-vapes.co.uk,nitecore q6 quick charger,nitecore,accessory,not on VOS (reviewed),,"VOS stocks Nitecore i2/i4 chargers, not the Q6 model (different device).",0,,,24.99,1,Nitecore Q6 Quick Charger,https://www.ninja-vapes.co.uk/product/nitecore-q6-quick-charger,,,
ninja-vapes.co.uk,Smok Resa Prince 7.5Ml Replacement Bulb,smok,accessory,not on VOS (reviewed),,No Smok Resa Prince tank glass found on VOS.,0,,colour: glass,2.99,1,Smok Resa Prince 7.5ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/smok-resa-prince-75ml-replacement-bulb-glass-24569,,,
ninja-vapes.co.uk,Smok Tfv12 Prince 5Ml Replacement Bulb,smok,accessory,not on VOS (reviewed),,VOS lists the whole TFV12 Prince tank (out of stock) but no separate replacement glass for it.,0,,colour: glass,3.25,2,SMOK TFV12 Prince 5ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/smok-tfv12-prince-5ml-replacement-bulb-glass,https://www.ninja-vapes.co.uk/product/smok-tfv12-prince-8ml-replacement-bulb-glass,smok tfv9 adaptor,0.1
ninja-vapes.co.uk,Smok Tfv16 9Ml Replacement Bulb,smok,accessory,not on VOS (reviewed),,No Smok TFV16 tank glass on VOS (only TFV16 coils and an unrelated TFV16 Lite tank).,0,,colour: glass,2.49,1,Smok TFV16 9ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/smok-tfv16-9ml-replacement-bulb-glass,,smok tfv9 adaptor,0.12
ninja-vapes.co.uk,Uwell Crown 3 Mini 4.5Ml Replacement Bulb,uwell,accessory,not on VOS (reviewed),,No Uwell Crown 3 Mini replacement glass on VOS.,0,,colour: glass,3.49,1,Uwell Crown 3 Mini 4.5ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/uwell-crown-3-mini-45ml-replacement-bulb-glass,,,
ninja-vapes.co.uk,Uwell Crown 4 5Ml Replacement Bulb,uwell,accessory,not on VOS (reviewed),,VOS has Crown IV tank/coils but no separate Crown IV replacement glass.,0,,colour: glass,2.99,1,Uwell Crown IV 5ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/uwell-crown-4-5ml-replacement-bulb-glass,,,
ninja-vapes.co.uk,Uwell Crown 5 5Ml Replacement Bulb,uwell,accessory,not on VOS (reviewed),,VOS has Crown 5 tank/coils but no separate Crown 5 replacement glass.,0,,colour: glass,2.49,1,Uwell Crown 5 5ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/uwell-crown-5-5ml-replacement-bulb-glass,,,
ninja-vapes.co.uk,Uwell Nunchaku 2.5Ml Replacement Bulb,uwell,accessory,not on VOS (reviewed),,"No Uwell Nunchaku replacement glass on VOS, only coils/kit.",0,,colour: glass,2.49,1,Uwell Nunchaku 2.5ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/uwell-nunchaku-2-5ml-replacement-bulb-glass,,,
ninja-vapes.co.uk,Uwell Nunchaku Tank 5Ml Replacement Bulb,uwell,accessory,not on VOS (reviewed),,No Uwell Nunchaku Tank replacement glass on VOS.,0,,colour: glass,3.49,1,Uwell Nunchaku Tank 5ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/uwell-nunchaku-tank-5ml-replacement-bulb-glass,,,
ninja-vapes.co.uk,Uwell Valyrian 2 6Ml Bubble Glass And Extension Chimney,uwell,accessory,not on VOS (reviewed),,No Uwell Valyrian 2 bubble glass/extension chimney on VOS.,0,,,2.99,2,Uwell Valyrian 2 6ml Bubble Glass & Extension Chimney,https://www.ninja-vapes.co.uk/product/uwell-valyrian-2-6ml-bubble-glass-and-extension-chimney-24581,https://www.ninja-vapes.co.uk/product/uwell-valyrian-2-6ml-bubble-glass-and-extension-chimney,,
ninja-vapes.co.uk,Uwell Valyrian 8Ml Replacement Bulb,uwell,accessory,not on VOS (reviewed),,No original Uwell Valyrian replacement glass on VOS (only Valyrian 2/3 parts).,0,,colour: glass,3.49,1,Uwell Valyrian 8ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/uwell-valyrian-8ml-replacement-bulb-glass,,,
ninja-vapes.co.uk,Uwell Whirl 22 Kit 3.5Ml Replacement Bulb,uwell,accessory,not on VOS (reviewed),,"VOS lists Uwell Whirl coils and other tanks' replacement glass, but no Whirl 22 replacement bulb/glass.",0,,colour: glass,2.49,1,Uwell Whirl 22 Kit 3.5ml Replacement Bulb Glass,https://www.ninja-vapes.co.uk/product/uwell-whirl-22-kit-35ml-replacement-bulb-glass,,,
ninja-vapes.co.uk,Efest Imr 18650 Reusable Battery 3000Mah 35A,efest,battery,not on VOS (reviewed),,"VOS only sells Efest chargers (Lush Box, Slim K1/K4), not Efest 18650 batteries.",0,,,7.99,2,EFEST IMR 18650 Rechargeable Battery (2PACK) (3000MAH 35A),https://www.ninja-vapes.co.uk/product/2-x-efest-imr-18650-rechargeable-battery-3000mah-35a,https://www.ninja-vapes.co.uk/product/1-x-efest-imr-18650-rechargeable-battery-3000mah-35a,,
ninja-vapes.co.uk,smoant pasito replacement coils,?,coil,not on VOS (reviewed),,No Smoant Pasito or Smoant-brand coils on VOS; only other brands' coils listed as lookalikes.,0,,"resistance: 0.6ohm, 1.4ohm",4.99,1,Smoant Pasito Replacement Coils,https://www.ninja-vapes.co.uk/product/smoant-pasito-replacment-coils,,,
ninja-vapes.co.uk,wismec wm series coils,?,coil,not on VOS (reviewed),,No Wismec WM series or Wismec-brand coils on VOS.,0,,"resistance: 0.15ohm, 0.2ohm, 0.4ohm",14.99,1,Wismec WM Series Coils,https://www.ninja-vapes.co.uk/product/wismec-wm-series-coils,,S Series Coils By Geekvape,0.2
ninja-vapes.co.uk,aspire atlantis se replacement coils,aspire,coil,not on VOS (reviewed),,"VOS has Atlantis EVO and Atlantis BVC coils but no Atlantis SE-specific coil, a different tank version.",0,,"resistance: 0.18ohm, 0.35ohm, 0.3ohm",12.95,1,Aspire Atlantis SE Replacement Coils,https://www.ninja-vapes.co.uk/product/aspire-atlantis-se-replacement-coils,,aspire atlantis evo coils pack of 5,0.4
ninja-vapes.co.uk,ijoy avenger x3 mesh coil,ijoy,coil,not on VOS (reviewed),,No IJoy-brand coils on VOS; only an unrelated out-of-stock IJoy disposable is same-brand.,0,,resistance: 0.15ohm,9.49,1,IJoy Avenger X3 Mesh Coil,https://www.ninja-vapes.co.uk/product/ijoy-avenger-x3-mesh-coil,,,
ninja-vapes.co.uk,ijoy captain coils,ijoy,coil,not on VOS (reviewed),,No IJoy Captain or any IJoy-brand coils on VOS.,0,,"resistance: 0.15ohm, 0.25ohm",9.19,1,IJoy Captain Coils,https://www.ninja-vapes.co.uk/product/ijoy-captain-coils,,,
ninja-vapes.co.uk,innokin m18 replacement coils,innokin,coil,not on VOS (reviewed),,VOS sells the Innokin Endura M18 kit but no M18-specific replacement coils; not among the many Innokin coil lines listed.,0,,resistance: 1.6ohm,8.99,1,Innokin M18 Replacement Coils,https://www.ninja-vapes.co.uk/product/innokin-m18-replacement-coils,,Innokin Endura T18 Coils,0.3
ninja-vapes.co.uk,innokin sensis (s) coils,innokin,coil,not on VOS (reviewed),,No Innokin Sensis coils on VOS among its extensive Innokin coil range.,0,,resistance: 0.25ohm,6.49,1,Innokin Sensis (S) Coils,https://www.ninja-vapes.co.uk/product/innokin-sensis-s-coils,,,
ninja-vapes.co.uk,smok m series replacement coils,smok,coil,not on VOS (reviewed),,No Smok 'M series' coils found among VOS's extensive Smok coil range.,0,,"resistance: 0.4ohm, 0.6ohm, 0.8ohm",11.95,1,SMOK M Series Replacement Coils,https://www.ninja-vapes.co.uk/product/smok-m-series-replacement-coils,,smok d- coil series replacement coils pack of 5,0.45
ninja-vapes.co.uk,smok v18 mini replacement coils,smok,coil,not on VOS (reviewed),,SMOK V18 Mini is a different tank from TFV18 Mini/TFV-Mini V2; VOS has no matching coil.,0,,"resistance: 0.15ohm dual meshed 3, 0.2ohm meshed 3, 0.33ohm meshed 3",10.99,1,Smok V18 Mini Replacement Coils,https://www.ninja-vapes.co.uk/product/smok-v18-mini-coils,,smok tfv18 mini replacement coils,0.4
ninja-vapes.co.uk,smok x-force coil,smok,coil,not on VOS (reviewed),,SMOK X-Force is a separate device line; VOS has no matching coil for it.,0,,resistance: 0.6ohm,8.99,1,Smok X-Force Coil,https://www.ninja-vapes.co.uk/product/smok-xforce-coil,,,
ninja-vapes.co.uk,snowwolf wf 0.2 ohm coils,snowwolf,coil,not on VOS (reviewed),,"VOS only stocks Snowwolf WF Mini coils, not the plain (non-mini) WF 0.2ohm coils.",0,,resistance: 0.2ohm,11.99,1,Snowwolf WF 0.2 Ohm Coils,https://www.ninja-vapes.co.uk/product/snowwolf-wf-02-ohm-coils,,,
ninja-vapes.co.uk,snowwolf x series mesh coil,snowwolf,coil,not on VOS (reviewed),,No Snowwolf X Series coil on VOS; only an unrelated Snowwolf box mod/tank and other-brand series coils.,0,,resistance: wf x1 0.17ohm,11.99,1,Snowwolf X Series Mesh Coil,https://www.ninja-vapes.co.uk/product/snowwolf-x-series-mesh-coil,,,
ninja-vapes.co.uk,uwell crown m replacement coils,uwell,coil,not on VOS (reviewed),,"VOS lists Crown M replacement empty pod cartridges, not a separate replaceable coil head, so the form doesn't match.",0,,resistance: 0.6ohm,11.95,1,Uwell Crown M Replacement Coils,https://www.ninja-vapes.co.uk/product/uwell-crown-m-replacement-coils,,uwell crown 3 coil [pack of 4],0.3
ninja-vapes.co.uk,uwell crown x replacement coils,uwell,coil,not on VOS (reviewed),,"VOS has Crown 3/IV/V coils and Crown X pods/kit, but no Crown X coil specifically.",0,,"resistance: 0.3ohm, 0.6ohm",8.95,1,Uwell Crown X Replacement Coils,https://www.ninja-vapes.co.uk/product/uwell-crown-x-replacement-coils,,uwell crown 3 coil [pack of 4],0.3
ninja-vapes.co.uk,vaporesso ccell gd ceramic coils,vaporesso,coil,not on VOS (reviewed),,"VOS stocks the GT CCELL coil, not the GD CCELL variant the competitor lists.",0,,resistance: 0.5ohm,13.99,1,Vaporesso CCELL GD Ceramic Coils,https://www.ninja-vapes.co.uk/product/vaporesso-ccell-gd-ceramic-coils,,vaporesso euc ceramic coils [ pack of 5 ],0.35
ninja-vapes.co.uk,Nicotine Shot 70 30 10Ml E-Liquid,?,eliquid,not on VOS (reviewed),,No 'Smoknic' branded nicotine shot found on VOS.,1,smoknic,,0.59,1,Smoknic Nicotine Shot 70/30 10ml E-liquid,https://www.ninja-vapes.co.uk/product/smoknic-nicotine-shot-70-30-10ml-eliquid,,mr vapour 10ml nic salts 70/30 vape juice,0.4
ninja-vapes.co.uk,Doozy Tropix Salts 10Ml,doozy vape co,eliquid,not on VOS (reviewed),,"VOS only carries Doozy Tropix as a 50ml shortfill, not as a Tropix nic salts 10ml line.",2,fiji; hawaii,,2.99,2,Doozy Tropix Salts Hawaii 10ml,https://www.ninja-vapes.co.uk/product/doozy-vape-tropix-salts-hawaii-10ml,https://www.ninja-vapes.co.uk/product/doozy-vape-tropix-salts-fiji-10ml,seriously bar salts 10ml juice,0.35
ninja-vapes.co.uk,Ultimate Puff Classic 50 50 10Ml,ultimate puff,eliquid,not on VOS (reviewed),,No Ultimate Puff 'Classic' 50/50 range found among VOS's Ultimate Puff listings.,3,menthol breeze; smooth virginia; sweet spearmint,"strength: 12mg, 3mg, 6mg",3.25,3,Ultimate Puff Classic 50/50 Smooth Virginia 10ml,https://www.ninja-vapes.co.uk/product/ultimate-puff-classic-50-50-smooth-virginia-10ml,https://www.ninja-vapes.co.uk/product/ultimate-puff-classic-50-50-menthol-breeze-10ml https://www.ninja-vapes.co.uk/product/ultimate-puff-classic-50-50-sweet-spearmint-10ml,,
ninja-vapes.co.uk,Ultimate Salt Cider Autumn 10Ml,ultimate puff,eliquid,not on VOS (reviewed),,"VOS's Ultimate cider range is a 100ml shortfill, not a Cider Autumn 10ml nic salt.",1,apple,,3.69,1,Ultimate Salt Cider Autumn Apple 10ml,https://www.ninja-vapes.co.uk/product/ultimate-salt-cider-autumn-apple-10ml,,ultimate slushy salt 10ml nic salt,0.35
ninja-vapes.co.uk,Ultimate Salts Villains 10Ml,ultimate puff,eliquid,not on VOS (reviewed),,VOS's Ultimate Villains range is a 100ml shortfill; no Villains nic salts 10ml line found.,3,death wish; madame chaos; toxic mask,,3.69,3,Ultimate Salts Villains Death Wish 10ml,https://www.ninja-vapes.co.uk/product/ultimate-salts-villains-death-wish-10ml,https://www.ninja-vapes.co.uk/product/ultimate-salts-villains-madame-chaos-10ml https://www.ninja-vapes.co.uk/product/ultimate-salts-villains-toxic-mask-10ml,ultimate salts custard 10ml nic salt,0.4
ninja-vapes.co.uk,Ultimate Salts Villains Dread 10Ml,ultimate puff,eliquid,not on VOS (reviewed),,"Same as other Ultimate Salts Villains rows: only the 100ml shortfill Villains range is stocked, not 10ml salts.",1,doctor,,3.69,1,Ultimate Salts Villains Doctor Dread 10ml,https://www.ninja-vapes.co.uk/product/ultimate-salts-villains-doctor-dread-10ml,,ultimate salts custard 10ml nic salt,0.35
ninja-vapes.co.uk,Ultimate Salts Villains Evil 10Ml,ultimate puff,eliquid,not on VOS (reviewed),,"Same as other Ultimate Salts Villains rows: only the 100ml shortfill Villains range is stocked, not 10ml salts.",1,queen,,3.69,1,Ultimate Salts Villains Evil Queen 10ml,https://www.ninja-vapes.co.uk/product/ultimate-salts-villains-evil-queen-10ml,,ultimate salts custard 10ml nic salt,0.35
ninja-vapes.co.uk,ultimate salts cookies black forrest 10ml,ultimate puff,eliquid,not on VOS (reviewed),,"Ultimate Cookies exists on VOS only as shortfill/50-50, not as an Ultimate Salts 10ml line.",0,,,3.69,1,Ultimate Salts Cookies Black Forrest 10ml,https://www.ninja-vapes.co.uk/product/ultimate-salts-cookies-black-forrest-10ml,,ultimate salts custard 10ml nic salt,0.32
ninja-vapes.co.uk,10Ml By Ultimate Salts,ultimate salts,eliquid,not on VOS (reviewed),,No Ultimate Salts Villains 10ml line (e.g. Big Bossman) found on VOS.,4,candy drops grape strawberry; candy drops lemon sour apple; candy drops watermelon cherry; villains big bossman,,3.69,4,Villains The Big Bossman 10ml by Ultimate Salts,https://www.ninja-vapes.co.uk/product/ultimate-salts-villains-the-big-bossman-10ml,https://www.ninja-vapes.co.uk/product/ultimate-salts-candy-drops-watermelon-cherry-10ml https://www.ninja-vapes.co.uk/product/ultimate-salts-candy-drops-lemon-and-sour-apple-10ml https://www.ninja-vapes.co.uk/product/ultimate-salts-candy-drops-grape-and-strawberry-10ml,,
ninja-vapes.co.uk,Pod Max 12000 Puffs Refillable Pod Kit Only Device,?,kit,not on VOS (reviewed),,VOS's Crystal Storm 12k kits/pods are a different device line to the Crystal Pod Max 12K device-only refillable kit.,1,crystal,"colour: black, green, pink",12.99,1,Crystal Pod Max 12K Puffs Refillable Pod Kit (Only Device) | Only £12.99 | Free 10ml Nic Salt,https://www.ninja-vapes.co.uk/product/crystal-pod-max-refillable-pod-kit,,relx maxgo 12k puff vape,0.4
ninja-vapes.co.uk,avomi fliq 4-in-1 2400 puffs pod kit,avomi,kit,not on VOS (reviewed),,"VOS only sells Avomi Cliq 6000, not the Avomi Fliq 4-in-1 2400 model; the 2400 4-in-1 kits listed are other brands.",10,fizzy; green; lemon lime; pineapple ice; pink; prime; red; tropical; ultimate; yellow .,,11.95,1,Avomi Fliq 4-in-1 2400 Puffs Pod Kit | Only £8.99 | Buy 3 for £25,https://www.ninja-vapes.co.uk/product/avomi-fliq-4-in-1-pod-kit,,,
ninja-vapes.co.uk,bloody mary bloody bar 3000 puffs prefilled 5-in-1 starter kit,bloody mary,kit,not on VOS (reviewed),,"No Bloody Mary/Bloody Bar 3000 puffs 5-in-1 starter kit on VOS; VOS only has BM600, 60k 4-in-1, and 10ml nic salts for this brand.",5,blue; ice; pink; rainbow; tropical,,9.99,1,Bloody Mary Bloody Bar 3000 Puffs Prefilled 5-in-1 Starter Kit | Only £9.99 | Buy Kit Get Pod Free,https://www.ninja-vapes.co.uk/product/bloody-bar-3000,,,
ninja-vapes.co.uk,dovpo ayce mini 2 pod kit,dovpo,kit,not on VOS (reviewed),,"VOS sells Dovpo Ayce Mini (and Ayce Pro), not the Ayce Mini 2, a different generation.",0,,"colour: black carbon, ember red, lemon green, midnight black, navy blue, peacock blue",14.99,1,Dovpo Ayce Mini 2 Pod Kit | Only £14.99,https://www.ninja-vapes.co.uk/product/dovpo-ayce-mini-2-pod-kit,,dovpo ayce mini vape kit,0.4
ninja-vapes.co.uk,elux legend prime 5000 puffs vape kit,elux,kit,not on VOS (reviewed),,"No Elux Legend Prime 5000 kit on VOS; VOS's Elux Legend range is 1500/8000/mini 600, not a Prime 5000 model.",4,blueberry cherry cranberry; gummy bear; mr blue; triple mango,"colour: blueberry raspberry, blueberry sour raspberry, fizzy cherry, lemon lime, menthol, strawberry raspberry cherry",12.99,1,Elux Legend Prime 5000 Puffs Vape Kit,https://www.ninja-vapes.co.uk/product/elux-legend-prime-5000-puffs-Vape-kit,,,
ninja-vapes.co.uk,fisco point pro 15000 puffs prefilled pod kit,fisco,kit,not on VOS (reviewed),,"VOS only has Fisco Point Pro 7000, not a 15000-puff Point Pro version; the 15k lookalikes are other brands.",9,juicy peach lemon; juicy pineapple; lemon lime; mr blue; strawberry kiwi; strawberry mojito; strawberry watermelon bubblegum; triple apple; watermelon ice,,9.99,1,Fisco Point Pro 15000 Puffs Prefilled Pod Kit | Only £9.99 | Any 3 for £27,https://www.ninja-vapes.co.uk/product/fisco-point-pro-15000,,,
ninja-vapes.co.uk,freemax marvos x kit 100w,freemax,kit,not on VOS (reviewed),,VOS sells replacement pods/coils for the Freemax Marvos but no Marvos X Kit device itself.,0,,"colour: black, brown, green, grey, light blue, navy blue",25.99,1,Freemax Marvos X Kit 100W | £25.99 Only,https://www.ninja-vapes.co.uk/product/freemax-marvos-x-pod-kit,,,
ninja-vapes.co.uk,geekvape boost pro 2 vape kit,geekvape,kit,not on VOS (reviewed),,"VOS has Geekvape Aegis Boost Pro (original) and Boost 2/3, not a distinct 'Boost Pro 2' model.",0,,"colour: black, blue red, bottle green, golden red, mint blue, pink purple, rainbow, silver",33.99,1,Geekvape Boost Pro 2 Vape Kit,https://www.ninja-vapes.co.uk/product/geekvape-boost-pro-2-kit,,geek vape aegis legend 2 vape kit,0.4
ninja-vapes.co.uk,geekvape h45 classic vape kit,geekvape,kit,not on VOS (reviewed),,"VOS has Geekvape H45 Hero 2 replacement pod and Aegis Hero 2 (H45) kit, not the H45 Classic kit itself.",0,,"colour: aqua, black, blue, grey, lavender, sakura",24.99,1,GeekVape H45 Classic Vape Kit | Only £24.99,https://www.ninja-vapes.co.uk/product/geekvape-h45-classic-kit,,geekvape aegis hero 2 (h45) pod kit,0.12
ninja-vapes.co.uk,ijoy shogun univ kit,ijoy,kit,not on VOS (reviewed),,"VOS only sells the IJOY Mars Cabin disposable, not the Shogun Univ mod kit.",1,b ghost fire,"colour: b aurora blue, b galactic, b specter, b splendor",36.99,1,IJoy Shogun univ Kit,https://www.ninja-vapes.co.uk/product/ijoy-shogun-univ-kit,,,
ninja-vapes.co.uk,innokin ez tube zenith minimal vape kit,innokin,kit,not on VOS (reviewed),,VOS sells a Zenith Minimal replacement tank but not the EZ Tube Zenith Minimal vape kit device.,0,,"colour: cerulean blue, crimson red, emerald amethyst, indigo lilac, lunar grey, nightfall black, sakura pink, silver glow",21.99,1,Innokin EZ Tube Zenith Minimal Vape Kit,https://www.ninja-vapes.co.uk/product/innokin-ez-tube-zenith-minimal-vape-kit,,innokin sceptre tube pod kit,0.32
ninja-vapes.co.uk,innokin sceptre 2 pod kit,innokin,kit,not on VOS (reviewed),,"VOS sells the Innokin Sceptre Tube kit, not a 'Sceptre 2' model.",1,rain forest,"colour: black, blue, grey, pink, purple, red, white",16.99,1,Innokin Sceptre 2 Pod Kit | Only £16.99,https://www.ninja-vapes.co.uk/product/innokin-sceptre-2-pod-kit,,innokin sceptre tube pod kit,0.2
ninja-vapes.co.uk,lost vape galaxy s360 pod vape kit,lost vape,kit,not on VOS (reviewed),,"VOS carries Lost Vape Galaxy T360, not the Galaxy S360 - different model number.",0,,"colour: ignite galaxy, mystic galaxy",18.99,1,Lost Vape Galaxy S360 Pod Vape Kit,https://www.ninja-vapes.co.uk/product/lost-vape-galaxy-s360-pod-vape-kit,,lost vape galaxy t360 pod vape kit,0.45
ninja-vapes.co.uk,Kit By Obs,obs,kit,not on VOS (reviewed),,"OBS KFB2 AIO Starter Kit is not among VOS's OBS kits (Alter, Cabo, Oner).",1,kfb2 aio starter,"colour: jungle adventure, rock skull, skull lover, soccer, virus",34.99,1,KFB2 AIO Starter Kit by OBS || Pod Kit,https://www.ninja-vapes.co.uk/product/kfb2-aio-starter-kit-by-obs-pod-kit,,,
ninja-vapes.co.uk,pod salt pyne pod 2-in-1 1500 puffs pod vape kit,pyne pod,kit,not on VOS (reviewed),,VOS only sells the Pyne Pod Click range (10k/50k/S 30k); the 2-in-1 1500 Puffs Pyne Pod kit is a different model not listed.,4,mint; pineapple; summer; watermelon,,5.99,1,Pod Salt Pyne Pod 2-in-1 1500 Puffs Pod Vape Kit | Only £5.99 | Any 3 for £15,https://www.ninja-vapes.co.uk/product/pod-salt-pyne-pod-2-in-1-pod-kit,,,
